timestamp,rx,ry,rz,tof,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,x,y,z,roll,pitch,yaw,tx,ty,tz,ft
0.01,0,0,4,72,0,0,0.07,0,0,0,0,0,0.07,0,0,0,0,-0,-0,0
0.014,0,0,3.99299999999999,72,2.30000000000091e-05,2.00000000005751e-06,0.069998,-1.000000000001e-06,-1.29999999999991e-05,2.50000000000042e-05,3.47229634389823e-06,-1.94904293010154e-06,0.070006859606515,-0.000209321082602403,-0.000210676779637195,0.000133813694578398,0,-0,-0,0
0.02,-0.00100000000000033,-0.00099999999999989,3.995,72,3.79999999999964e-05,-1.09999999999832e-05,0.070002,-2.40000000000032e-05,-2.000000000002e-06,0.000107000000000003,8.51344290619949e-06,-4.41522087740037e-06,0.070017103610778,-0.000511759124701,-0.000496823203013988,0.000373564929721799,0,-0,-0,0
0.024,0,-0.00099999999999989,3.999,72,3.50000000000072e-05,4.000000000004e-06,0.069969,5.89999999999966e-05,6.000000000006e-06,9.80000000000009e-05,1.16615270771003e-05,-5.69145499600132e-06,0.070023717931023,-0.000700005360741704,-0.000660943007718198,0.000558036723913101,0,-0,-0,0
0.028,0,-0.00099999999999989,4.00400000000002,72,4.20000000000004e-05,-8.000000000008e-06,0.070006,-2.90000000000012e-05,2.00000000000061e-05,7.10000000000016e-05,1.45568317176936e-05,-6.62475751440211e-06,0.070030001352363,-0.000872808542203202,-0.000798308873650691,0.000760576094020804,0,-0,-0,0
0.032,0,-0.00099999999999989,4,72,1.90000000000051e-05,9.00000000003676e-06,0.070005,-4.50000000000034e-05,7.99999999999412e-06,0.000260000000000003,1.7127875719794e-05,-7.17609898430102e-06,0.070035810774147,-0.0010260070489299,-0.000904303368690393,0.000979300502393698,0,-0,-0,0
0.038,0,0.0209999999999999,4.02600000000001,70,6.30000000000075e-05,-1.2000000000012e-05,0.069983,-0.000337999999999998,0.000114000000000003,0.00162200000000001,2.02221297739003e-05,-7.20957160420255e-06,0.070043314230081,-0.0012099044734693,-0.000994701898328898,0.0013325618774108,0,-0,-0,0
0.042,0.00099999999999989,0.0760000000000001,4.101,70,7.40000000000046e-05,-2.99999999997524e-06,0.069964,-0.000584000000000001,0.000289999999999999,0.002951,2.16769294740932e-05,-6.65809223640221e-06,0.070047292592183,-0.0012959037994332,-0.001003097592971,0.0015807057249549,0,-0,-0,0
0.046,-0.00100000000000033,0.0369999999999999,4.215,70,6.30000000000075e-05,-1.89999999999912e-05,0.069985,-0.000921999999999999,0.000383999999999995,0.003723,2.25691884715995e-05,-5.61855858530191e-06,0.070050280074329,-0.0013480058601632,-0.000965511744466893,0.0018350962460537,0,-0,-0,0
0.05,-0.0260000000000002,-0.0389999999999997,4.24000000000001,72,5.60000000000005e-05,-5.99999999995049e-06,0.069968,-0.000955999999999999,0.000373999999999999,0.003986,2.28392576551995e-05,-4.07286369790219e-06,0.070052133615927,-0.0013625007752711,-0.000878578800933894,0.0020919773943629,0,-0,-0,0
