timestamp,rx,ry,rz,tof,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,x,y,z,roll,pitch,yaw,tx,ty,tz,ft
0.008,0,0,4,71,0,0,0.07,0,0,0,0,0,0.07,0,0,0,0,-0,-0,0
0.012,-0.0149999999999988,-0.00300000000000011,4.005,72,-1.60000000000021e-05,1.2000000000012e-05,0.069985,-2.000000000002e-06,1.29999999999991e-05,-1.19999999999981e-05,3.4862995832996e-06,-2.05099291719982e-06,0.070006817767153,-0.000210697723306202,-0.000216572107604798,0.000123142303720694,0,-0,-0,0
0.018,-0.0339999999999989,0,4.00299999999999,72,-5.000000000005e-06,-8.99999999992573e-06,0.070016,-2.90000000000012e-05,-7.40000000000046e-05,1.000000000001e-06,8.61144886439569e-06,-4.71101289500203e-06,0.070017110432259,-0.000518705124155402,-0.000515809495672606,0.000347468554461695,0,-0,-0,0
0.022,0.00600000000000023,-0.00399999999999956,4.00299999999999,71,-2.000000000002e-06,-4.99999999992173e-06,0.070004,-1.40000000000001e-05,-1.40000000000001e-05,-3.60000000000013e-05,1.18592571080045e-05,-6.14327808150239e-06,0.070023838303616,-0.0007131358357381,-0.000691557311884305,0.000522333163519996,0,-0,-0,0
0.026,0.00600000000000023,-0.00199999999999978,4.02199999999999,71,-1.40000000000001e-05,-8.99999999992573e-06,0.069992,1.69999999999962e-05,-4.60000000000044e-05,-2.10000000000002e-05,1.48898748650039e-05,-7.25309584539979e-06,0.070030304739398,-0.000894176946592801,-0.000842881995490208,0.000716047431191795,0,-0,-0,0
0.032,-0.00199999999999889,0.016,4.02699999999999,72,-2.10000000000071e-05,5.00000000003276e-06,0.069963,2.90000000000012e-05,-1.000000000001e-05,0.000108000000000004,1.88725065219941e-05,-8.2257168191012e-06,0.070039205680307,-0.0011315878113999,-0.001013924614452,0.00103819231854309,0,-0,-0,0
0.036,0.0240000000000009,-0.0469999999999997,4.041,72,-1.19999999999981e-05,7.00000000009027e-06,0.069958,-0.000149000000000003,0.000103999999999993,0.000964,2.10485299743934e-05,-8.35925163939974e-06,0.070044394201319,-0.0012609979948662,-0.00108405544127591,0.0012707908404524,0,-0,-0,0
0.04,0.0419999999999998,-0.00399999999999956,4.12699999999998,72,2.29999999999952e-05,-9.99999999995449e-06,0.069949,-0.000391000000000002,0.00018,0.002209,2.27605190983027e-05,-8.04307795270257e-06,0.070048813056081,-0.0013624803687089,-0.0011140402621774,0.0015145251703871,0,-0,-0,0
0.044,0.114000000000001,-0.0149999999999997,4.19999999999999,72,6.89999999999996e-05,-4.99999999992173e-06,0.069944,-0.000661000000000002,0.00029499999999999,0.003432,2.39418814011044e-05,-7.25023347130163e-06,0.070052314157401,-0.0014320108763726,-0.0010998952334305,0.0017662377534832,0,-0,-0,0
0.048,0.113000000000001,-0.111,4.27799999999999,72,5.29999999999975e-05,-2.99999999997524e-06,0.069983,-0.00093,0.000363000000000002,0.003875,2.45301057303915e-05,-5.9594718141015e-06,0.070054752229349,-0.0014657557919326,-0.0010380257309386,0.0020223667875483,0,-0,-0,0
0.052,0.077,-0.207,4.316,72,-4.000000000004e-06,1.30000000000408e-05,0.069957,-0.000885000000000004,0.000393999999999992,0.003966,2.44687383365028e-05,-4.15601733080168e-06,0.070055986932164,-0.001460148666276,-0.000925318384001408,0.0022789685988353,0,-0,-0,0
0.058,0.0229999999999997,-0.0940000000000003,4.31799999999998,72,-7.80000000000086e-05,3.2000000000032e-05,0.069911,-0.000712000000000004,0.000266999999999989,0.003673,2.30525659654923e-05,-4.75092520702686e-07,0.070055294389745,-0.0013710245233673,-0.000655559651454002,0.0026552754422768,0,-0,-0,0
0.062,-0.0389999999999997,0.0110000000000001,4.26899999999998,72,-9.49999999999979e-05,2.60000000000815e-05,0.069913,-0.000709000000000001,0.000321000000000002,0.003668,2.1169231161397e-05,2.62593866649785e-06,0.070052961750853,-0.0012539087262651,-0.0004061230291586,0.002893594787149,0,-0,-0,0
0.066,-0.036999999999999,0.069,4.262,72,-0.000109999999999999,4.10000000000688e-05,0.069884,-0.000611,0.000307000000000002,0.003645,1.85023617464974e-05,6.23091452089941e-06,0.070049011266617,-0.0010882183510414,-0.000100056020460398,0.00311608470274539,0,-0,-0,0
0.07,0.0129999999999999,-0.0369999999999999,4.25199999999998,72,-0.000108999999999998,4.59999999999905e-05,0.069881,-0.000634000000000003,0.000305,0.003658,1.50362068429971e-05,1.03182196934982e-05,0.070043359316036,-0.000872577927090001,0.0002624831024753,0.0033175703790167,0,-0,-0,0
0.074,0.0980000000000008,-0.122,4.244,72,-7.99999999999967e-05,6.20000000000065e-05,0.06984,-0.000448000000000004,0.000423999999999994,0.00358,1.07654021279935e-05,1.48568327430973e-05,0.070035943941104,-0.000606311021910402,0.000680388649494296,0.0034927582846837,0,-0,-0,0
0.078,0.169,-0.0860000000000003,4.19999999999999,71,-2.20000000000081e-05,5.6000000000056e-05,0.069836,-0.000229,0.000592999999999996,0.003514,5.69551430999737e-06,1.98057416286e-05,0.07002672836005,-0.000289509924124298,0.00115154333668009,0.0036363082114976,0,-0,-0,0
0.084,0.215,-0.00100000000000033,4.13799999999998,71,5.99999999999212e-06,5.70000000000848e-05,0.069829,3.99999999999706e-06,0.000957,0.003158,-3.36494988670277e-06,2.78826483830971e-05,0.070009521034701,0.000278179799766298,0.00195085059472809,0.00378072849595969,0,-0,-0,0
0.088,0.211,0.0259999999999998,4.12199999999999,71,3.59999999999944e-05,8.000000000008e-05,0.069817,0.000342999999999996,0.001234,0.002871,-1.03249327716992e-05,3.3608424606698e-05,0.069995842484976,0.000715319431832596,0.0025387621147137,0.0038222348315798,0,-0,-0,0
0.092,0.178000000000001,-0.00999999999999979,4.10399999999998,71,4.30000000000014e-05,7.6000000000076e-05,0.069811,0.000650999999999999,0.001565,0.002461,-1.79599794873087e-05,3.95183160744987e-05,0.069980484545786,0.0011957823486267,0.0031638583300314,0.0038142227984195,0,-0,-0,0
0.096,0.167,-0.108,4.07399999999998,71,2.29999999999952e-05,8.60000000000305e-05,0.069836,0.000946999999999996,0.00191899999999999,0.001984,-2.61994496780077e-05,4.55253972201988e-05,0.069963563209295,0.0017153659285799,0.0038189649023984,0.0037521838108867,0,-0,-0,0
0.1,0.128,-0.0739999999999998,4.04499999999999,70,4.99999999999112e-06,7.80000000000225e-05,0.06983,0.001391,0.00225,0.001428,-3.49563073386017e-05,5.15339686385993e-05,0.069945233207787,0.0022688714355831,0.0044957547553169,0.0036320486954106,0,-0,-0,0
0.104,0.202,-0.00499999999999989,4.00199999999998,70,5.99999999999212e-06,8.30000000000553e-05,0.069809,0.00208,0.00276,0.000874,-4.41269264356975e-05,5.74404103337971e-05,0.069925690027505,0.0028501018140144,0.0051847745119832,0.0034502828985431,1.33193422892359e-09,-1.64092794674454e-09,-1.27862114687414e-10,5.04819806627445e-05
0.11,0.227,-0.00100000000000033,3.95099999999999,70,-3.60000000000082e-05,6.60000000000105e-05,0.069806,0.003035,0.003568,-0.000227999999999999,-5.83898936808019e-05,6.58651952345976e-05,0.069894636259378,0.0037579586916947,0.0062179078379541,0.0030559144712356,3.33027396189464e-09,-4.14534769681946e-09,-3.2810564567517e-10,0.0001261174151107
