timestamp,rx,ry,rz,tof,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,x,y,z,roll,pitch,yaw,tx,ty,tz,ft
0.014,0,0,4,70,0,0,0.07,0,0,0,0,0,0.07,0,0,0,0,-0,-0,0
0.018,-0.011000000000001,-0.00099999999999989,3.99799999999999,70,3.000000000003e-06,-1.00000000002876e-06,0.069979,2.80000000000002e-05,-2.09999999999932e-05,2.50000000000042e-05,3.39452171829735e-06,-1.71235213010032e-06,0.070006855919584,-0.000203803279083002,-0.000195511470273801,0.000154763043733901,0,-0,-0,0
0.022,-0.011000000000001,0.00300000000000011,3.983,70,2.69999999999992e-05,-1.40000000000695e-05,0.070028,-3.79999999999964e-05,8.000000000008e-06,5.70000000000015e-05,6.64232996190617e-06,-3.14461731660068e-06,0.070013583790941,-0.0003982339906657,-0.000371259286485501,0.000329627652792201,0,-0,-0,0
0.026,-0.0390000000000015,-0.00499999999999989,3.97900000000001,73,1.80000000000041e-05,-1.00000000000655e-05,0.07,-1.40000000000001e-05,1.09999999999971e-05,4.60000000000044e-05,9.67294771890559e-06,-4.25443508049808e-06,0.070020050226723,-0.0005792751015204,-0.000522583970091403,0.000523341920464,0,-0,-0,0
0.032,-0.0470000000000006,0.0129999999999999,3.977,73,9.99999999999612e-06,-1.40000000000695e-05,0.070018,-7.19999999999957e-05,-6.99999999999312e-06,9.00000000000206e-06,1.36555793758958e-05,-5.22705605419949e-06,0.070028951167632,-0.000816685966327502,-0.000693626589053198,0.0008454868078153,0,-0,-0,0
0.036,-0.0450000000000017,-0.00299999999999989,3.977,71,-7.99999999999412e-06,9.99999999917733e-07,0.069999,-0.000133000000000001,2.000000000002e-06,0.000469000000000004,1.58316028282951e-05,-5.36059087449803e-06,0.070034139688644,-0.000946096149793803,-0.0007637574158771,0.0010780853297246,0,-0,-0,0
0.04,-0.0540000000000003,0.0389999999999999,4.03200000000001,71,3.10000000000032e-05,9.99999999917733e-07,0.069971,-0.000257,0.000119000000000008,0.001521,1.75435919522043e-05,-5.04441718780085e-06,0.070038558543406,-0.0010475785236365,-0.000793742236778597,0.0013218196596593,0,-0,-0,0
0.044,-0.0600000000000005,0.0800000000000001,4.10400000000001,71,6.89999999999996e-05,9.99999999917733e-07,0.069985,-0.000488999999999996,0.000245999999999996,0.00281,1.87249542550061e-05,-4.25157270639992e-06,0.070042059644726,-0.0011171090313002,-0.000779597208031696,0.0015735322427554,0,-0,-0,0
0.048,-0.0710000000000015,0.036,4.202,71,7.50000000000056e-05,-6.00000000006151e-06,0.070003,-0.000753999999999998,0.000336000000000003,0.003631,1.93131785842932e-05,-2.96081104919979e-06,0.070044497716674,-0.0011508539468602,-0.000717727705539795,0.0018296612768205,0,-0,-0,0
0.054,-0.105,-0.0409999999999999,4.24199999999999,71,4.20000000000004e-05,-3.00000000008627e-06,0.070022,-0.000830999999999998,0.000331999999999999,0.003898,1.8961745198498e-05,-6.06995853996706e-08,0.070045856577278,-0.0011266643259172,-0.000528783881453193,0.0022134118246474,0,-0,-0,0
0.06,-0.153,-0.0229999999999999,4.20099999999999,71,-4.70000000000054e-05,1.79999999999625e-05,0.070032,-0.000792999999999995,0.000267000000000003,0.003588,1.69905116750024e-05,4.01008751340151e-06,0.070044069795293,-0.001003525324734,-0.000217596942703596,0.0025833913344466,0,-0,-0,0
0.062,-0.200000000000001,0.0569999999999999,4.154,71,-5.19999999999965e-05,2.89999999999457e-05,0.070036,-0.000782999999999999,0.000259000000000009,0.003592,1.59523040152987e-05,5.62459943139956e-06,0.070042707238178,-0.000939006881192701,-8.58250037597957e-05,0.0027008892764212,0,-0,-0,0
0.066,-0.202000000000002,0.143,4.136,71,-7.20000000000026e-05,3.39999999999785e-05,0.070014,-0.000759999999999997,0.000276999999999999,0.003595,1.32854346003991e-05,9.22957528580112e-06,0.070038756753942,-0.000773316505968999,0.000220242004938406,0.0029233791920176,0,-0,-0,0
0.07,-0.158000000000001,0.038,4.124,71,-7.10000000000016e-05,3.89999999999002e-05,0.070009,-0.000746999999999998,0.000278,0.003594,9.81927969689878e-06,1.33168804584e-05,0.070033104803361,-0.000557676082017601,0.000582781127874105,0.0031248648682889,0,-0,-0,0
0.074,-0.0980000000000008,-0.0489999999999999,4.12800000000001,71,-5.19999999999965e-05,4.29999999999042e-05,0.069971,-0.000661999999999996,0.000367000000000006,0.003557,5.54847498189515e-06,1.7855493507999e-05,0.070025689428429,-0.000291409176838002,0.0010006866748931,0.0033000527739559,0,-0,-0,0
0.08,-0.0350000000000001,-0.048,4.07400000000001,71,4.09999999999994e-05,4.09999999999577e-05,0.06999,-0.000439999999999996,0.000531000000000004,0.003473,-2.35094760560328e-06,2.54170229555019e-05,0.070011187255334,0.0002024879415383,0.0017264351703201,0.0035018509962295,0,-0,-0,0
