timestamp,rx,ry,rz,tof,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,x,y,z,roll,pitch,yaw,tx,ty,tz,ft
0.048,0,0,4,79,0,0,0.08,0,0,0,0,0,0.08,0,0,0,0,-0,-0,0
0.052,0.00200000000000022,-0.000999999999999446,3.994,79,5.60000000000005e-05,-9.99999999995449e-06,0.080071,-0.000872999999999999,2.90000000000012e-05,0.002083,-6.13673938887338e-08,1.80345448329983e-06,0.080001234702815,5.60712565660093e-06,0.000112707346937191,0.000256601811287005,0,-0,-0,0
0.054,0.00100000000000033,0,3.989,79,5.3000000000001e-05,8.000000000008e-06,0.080027,-0.001179,0.000124999999999986,0.003133,-3.5143338579513e-07,2.90011146380012e-06,0.080001358860604,2.41896209429993e-05,0.000188943824086601,0.000383750547826904,0,-0,-0,0
0.058,0.00100000000000033,0,3.982,79,3.00000000000005e-05,1.49999999999872e-05,0.08004,-0.001778,0.000244999999999995,0.004718,-1.47753976489917e-06,5.48437929339882e-06,0.080000542160396,9.47312685653026e-05,0.000382466079484597,0.000632908654728502,0,-0,-0,0
0.06,0,0,3.97499999999999,79,4.40000000000006e-05,1.70000000000448e-05,0.080074,-0.002001,0.000215999999999994,0.00537099999999999,-2.32266690929073e-06,6.9708985626013e-06,0.079999572078619,0.0001473286221262,0.000500130762836198,0.000753730057626099,0,-0,-0,0
0.062,0.00300000000000011,-0.000999999999999446,3.96799999999999,79,-5.99999999999906e-06,2.10000000000488e-05,0.080056,-0.002113,0.000237999999999988,0.00589400000000001,-3.36087456899448e-06,8.58541048059935e-06,0.079998209521504,0.0002118470656675,0.000631902701779999,0.000871227999600703,0,-0,-0,0
0.066,0.00300000000000011,0.027000000000001,3.977,79,-4.79999999999994e-05,2.69999999999992e-05,0.080029,-0.00234,0.000313999999999981,0.00664000000000001,-6.02774398389405e-06,1.21903863350009e-05,0.079994259037268,0.000377537440891203,0.000937969710478201,0.0010937179151971,0,-0,-0,0
0.07,-0.0139999999999998,0.0609999999999999,4.03300000000002,79,-5.69999999999998e-05,3.70000000000648e-05,0.080027,-0.002516,0.000299999999999995,0.00719,-9.49389888739438e-06,1.62776915075998e-05,0.079988607086687,0.000593177864842601,0.0013005088334139,0.0012952035914684,0,-0,-0,0
0.072,-0.0489999999999999,-0.020999999999999,4.101,79,-8.59999999999993e-05,4.70000000000192e-05,0.079973,-0.002494,0.000309000000000004,0.00733200000000001,-1.15287984544937e-05,1.84929082449013e-05,0.079985122757933,0.000719969974939602,0.0015026487336616,0.00138641832442461,0,-0,-0,0
0.076,-0.0959999999999996,-0.0350000000000001,4.20099999999999,77,-0.000116,3.50000000000072e-05,0.080011,-0.002603,0.000270999999999993,0.00738800000000001,-1.62005725372893e-05,2.32424410341985e-05,0.079976810166511,0.0010115661357981,0.00194750899559279,0.0015464546925005,0,-0,-0,0
0.078,-0.125,0.0390000000000015,4.29400000000001,77,-9.49999999999996e-05,2.99999999999745e-05,0.080009,-0.002591,0.000264999999999987,0.00741600000000001,-1.88345914203941e-05,2.57652134427015e-05,0.079971976130701,0.0011762458678083,0.00218956906761869,0.0016139414239493,0,-0,-0,0
0.082,-0.225,0.027000000000001,4.434,77,-9.90000000000001e-05,5.6000000000056e-05,0.079943,-0.002378,0.000265999999999988,0.00731799999999999,-2.46857197127998e-05,3.10728407101994e-05,0.079960952378188,0.0015426566392514,0.00271078921781459,0.0017205447783708,0,-0,-0,0
0.084,-0.265,-0.0549999999999997,4.48699999999999,77,-6.99999999999989e-05,3.70000000000648e-05,0.079944,-0.002392,0.000275999999999998,0.007382,-2.78950556170943e-05,3.38421201971986e-05,0.079954768805352,0.0017439355916989,0.00298887632566669,0.0017583617084114,0,-0,-0,0
0.088,-0.306,-0.0809999999999995,4.55500000000001,80,-2.4999999999999e-05,4.50000000000728e-05,0.079924,-0.002369,0.00032299999999999,0.00745899999999999,-3.48550385020907e-05,3.95678964207995e-05,0.079941090255627,0.0021810752237652,0.0035767878456523,0.0017998680440315,0,-0,-0,0
0.09,-0.331,-0.0229999999999997,4.58199999999999,80,-9.99999999999959e-06,2.90000000000568e-05,0.079968,-0.002458,0.000281000000000003,0.007494,-3.85922064862904e-05,4.25050440013008e-05,0.079933614852574,0.002416130709716,0.0038851090580249,0.0018023427919862,0,-0,-0,0
0.094,-0.341,0.0460000000000012,4.60400000000001,80,3.79999999999998e-05,4.8000000000048e-05,0.079915,-0.002323,0.000323999999999991,0.00754199999999999,-4.65393245205892e-05,4.84749672160986e-05,0.079917458328425,0.0029167413253008,0.0045261797006525,0.0017678556257064,0,-0,-0,0
