timestamp,rx,ry,rz,tof,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,x,y,z,roll,pitch,yaw,tx,ty,tz,ft
0.008,0,0,4,80,0,0,0.08,0,0,0,0,0,0.08,0,0,0,0,-0,-0,0
0.012,0.0529999999999999,0.0620000000000012,4.00399999999999,80,-9.00000000000033e-06,8.000000000008e-06,0.079953,6.30000000000006e-05,3.50000000000072e-05,-6.99999999997925e-06,3.4862995832996e-06,-2.05099291719982e-06,0.080006817767153,-0.000210697723306202,-0.000216572107604798,0.000123142303720694,0,-0,-0,0
0.018,0.0549999999999999,0.0490000000000013,4.02000000000001,77,-3.00000000000005e-05,1.5999999999905e-05,0.079951,8.09999999999977e-05,5.29999999999975e-05,-5.79999999999747e-05,8.61144886439569e-06,-4.71101289500203e-06,0.080017110432259,-0.000518705124155402,-0.000515809495672606,0.000347468554461695,0,-0,-0,0
0.022,0.0569999999999999,0.135,4.04300000000001,77,-9.99999999999265e-07,8.99999999992573e-06,0.080017,-2.60000000000052e-05,-3.39999999999785e-05,5.000000000005e-06,1.18592571080045e-05,-6.14327808150239e-06,0.080023838303616,-0.0007131358357381,-0.000691557311884305,0.000522333163519996,0,-0,-0,0
0.024,0.0589999999999999,0.149000000000001,4.04400000000001,77,-4.00000000000053e-06,1.29999999999297e-05,0.079976,1.99999999999992e-05,2.000000000002e-05,-1.39999999999862e-05,1.34061578793004e-05,-6.7410728308015e-06,0.080027112837183,-0.000805586123211702,-0.000770564253479808,0.000616928540062497,0,-0,-0,0
0.03,0.0309999999999999,0.100000000000001,4.065,80,-9.99999999999959e-06,1.39999999999585e-05,0.079959,7.70000000000007e-05,2.69999999999992e-05,-7.99999999998025e-06,1.76319734693925e-05,-8.00011431340009e-06,0.080036369332269,-0.0010577008504772,-0.000965133459604597,0.000926941354621395,0,-0,-0,0
0.034,0.073,0.179,4.065,80,-7.99999999999933e-06,0,0.079982,-0.000130000000000005,4.60000000000182e-05,0.000450000000000006,2.0014255731296e-05,-8.34680774270194e-06,0.08004188683527,-0.001199527008815,-0.001053746577227,0.0011529185033076,0,-0,-0,0
0.04,0.0649999999999999,0.208,4.11699999999999,78,-1.49999999999994e-05,9.99999999995449e-06,0.079935,-0.000546000000000005,7.30000000000175e-05,0.001639,2.27605190983027e-05,-8.04307795270257e-06,0.080048813056081,-0.0013624803687089,-0.0011140402621774,0.0015145251703871,0,-0,-0,0
0.044,-0.00100000000000011,0.144,4.19200000000001,78,3.39999999999993e-05,1.2000000000012e-05,0.079913,-0.000988000000000003,0.000144000000000005,0.00297600000000001,2.39418814011044e-05,-7.25023347130163e-06,0.080052314157401,-0.0014320108763726,-0.0010998952334305,0.0017662377534832,0,-0,-0,0
0.048,0.0129999999999999,0.128,4.286,78,6.50000000000008e-05,1.39999999999585e-05,0.079903,-0.001578,0.000239000000000017,0.00471100000000002,2.45301057303915e-05,-5.9594718141015e-06,0.080054752229349,-0.0014657557919326,-0.0010380257309386,0.0020223667875483,0,-0,-0,0
