timestamp,rx,ry,rz,tof,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,x,y,z,roll,pitch,yaw,tx,ty,tz,ft
0.01,0,0,4,81,0,0,0.08,0,0,0,0,0,0.08,0,0,0,0,-0,-0,0
0.014,-0.00600000000000023,-0.0139999999999993,4.00999999999999,79,-1.80000000000007e-05,-3.00000000008627e-06,0.079998,2.40000000000032e-05,7.99999999998025e-06,-6.10000000000055e-05,3.47229634389823e-06,-1.94904293010154e-06,0.080006859606515,-0.000209321082602403,-0.000210676779637195,0.000133813694578398,0,-0,-0,0
0.02,-0.00900000000000034,0.00100000000000033,4.03299999999999,79,8.99999999999859e-06,-8.000000000008e-06,0.080012,-3.99999999999706e-06,2.29999999999952e-05,-2.29999999999952e-05,8.51344290619949e-06,-4.41522087740037e-06,0.080017103610778,-0.000511759124701,-0.000496823203013988,0.000373564929721799,0,-0,-0,0
0.024,0.00199999999999889,0.0350000000000001,4.03800000000001,77,8.99999999999859e-06,1.99999999994649e-06,0.080008,5.10000000000024e-05,4.000000000004e-06,-3.000000000003e-06,1.16615270771003e-05,-5.69145499600132e-06,0.080023717931023,-0.000700005360741704,-0.000660943007718198,0.000558036723913101,0,-0,-0,0
0.028,0.0169999999999995,0.108000000000001,4.01599999999999,77,1.69999999999997e-05,0,0.08,0,1.19999999999842e-05,1.2000000000012e-05,1.45568317176936e-05,-6.62475751440211e-06,0.080030001352363,-0.000872808542203202,-0.000798308873650691,0.000760576094020804,0,-0,-0,0
0.032,0.0419999999999998,0.032,4.00399999999999,77,4.9999999999998e-06,-2.00000000005751e-06,0.080003,-4.50000000000034e-05,-3.000000000003e-06,0.00012899999999999,1.7127875719794e-05,-7.17609898430102e-06,0.080035810774147,-0.0010260070489299,-0.000904303368690393,0.000979300502393698,0,-0,-0,0
0.036,0.0459999999999994,0.0190000000000001,4.02199999999999,78,2.10000000000002e-05,-1.00000000002876e-06,0.079989,-0.000219999999999998,6.10000000000055e-05,0.000757000000000008,1.93038991721933e-05,-7.30963380459956e-06,0.080040999295159,-0.00115541723239621,-0.000974434195514295,0.001211899024303,0,-0,-0,0
0.04,0.000999999999999446,0.0730000000000004,4.10499999999999,78,5.99999999999993e-05,-1.30000000000408e-05,0.08002,-0.000632000000000001,0.000118000000000007,0.001667,2.10158882961026e-05,-6.99346011790239e-06,0.080045418149921,-0.00125689960623891,-0.00100441901641579,0.0014556333542377,0,-0,-0,0
0.046,-0.0530000000000008,0.0700000000000003,4.20099999999999,79,5.9e-05,4.99999999992173e-06,0.080014,-0.001386,0.000219999999999998,0.00381900000000002,2.25691884715995e-05,-5.61855858530191e-06,0.080050280074329,-0.0013480058601632,-0.000965511744466893,0.0018350962460537,0,-0,-0,0
0.05,-0.178000000000001,0.137,4.267,79,8.29999999999997e-05,3.99999999989298e-06,0.080045,-0.002093,0.000288999999999984,0.00567999999999999,2.28392576551995e-05,-4.07286369790219e-06,0.080052133615927,-0.0013625007752711,-0.000878578800933894,0.0020919773943629,0,-0,-0,0
0.054,-0.195,0.0880000000000001,4.35300000000001,79,0.000114999999999999,3.99999999989298e-06,0.080111,-0.003008,0.000330999999999998,0.00786800000000001,2.24340415423963e-05,-2.00974251550121e-06,0.080052716183793,-0.0013359854085196,-0.000739460661090388,0.0023472255192258,0,-0,-0,0
0.058,-0.243,0.152,4.495,80,8.59999999999993e-05,1.29999999999297e-05,0.080073,-0.003491,0.000501000000000001,0.009405,2.13079351632922e-05,5.7452531409749e-07,0.080051899483585,-0.0012654437608973,-0.000545938405692392,0.0025963836261274,0,-0,-0,0
0.064,-0.256,0.0600000000000005,4.60900000000001,80,4.89999999999987e-05,3.79999999999825e-05,0.080046,-0.003866,0.000563999999999981,0.011028,1.81903401809957e-05,5.41619076249722e-06,0.080047799533152,-0.0010716561030971,-0.000150558575236895,0.0029482464499163,0,-0,-0,0
0.068,-0.311,0.0790000000000006,4.673,80,-2.00000000000027e-06,4.19999999999865e-05,0.080027,-0.004112,0.000580999999999998,0.011657,1.51251421012938e-05,9.26560361869805e-06,0.080043007487829,-0.000881120632172702,0.000183821877228707,0.0031608901293552,0,-0,-0,0
0.072,-0.373000000000001,0.269,4.666,80,-1.60000000000004e-05,2.89999999999457e-05,0.080052,-0.00428,0.000553999999999999,0.012051,1.12566764736977e-05,1.35830542656e-05,0.080036480081122,-0.000640205054523002,0.000574244248484609,0.0033498932958235,0,-0,-0,0
0.076,-0.349,0.272,4.62299999999999,80,-3.10000000000015e-05,3.9999999999929e-05,0.080022,-0.004286,0.000536999999999982,0.012167,6.58490239090204e-06,1.83325870548971e-05,0.0800281674897,-0.000348608893664504,0.0010191045104158,0.0035099296638994,0,-0,-0,0
0.08,-0.200000000000001,0.134,4.58599999999998,78,-6.30000000000006e-05,4.7999999999937e-05,0.079991,-0.00416,0.000559000000000004,0.012022,1.12134873829495e-06,2.34679800254003e-05,0.080018046861849,-6.8331410641026e-06,0.00151575839068291,0.0036356646908079,0,-0,-0,0
0.084,-0.174000000000001,0.0640000000000001,4.54900000000001,78,-5.50000000000012e-05,3.69999999999537e-05,0.079962,-0.004138,0.000561000000000006,0.012033,-5.10958068890288e-06,2.89322662178973e-05,0.080006126128541,0.000383760562236296,0.0020604718404897,0.0037218366798103,0,-0,-0,0
0.088,-0.163,0.124000000000001,4.505,78,-1.60000000000004e-05,4.09999999999577e-05,0.079938,-0.004074,0.000584000000000001,0.01212,-1.20695635738993e-05,3.46580424414981e-05,0.079992447578816,0.000820900194302594,0.00264838336047531,0.0037633430154304,0,-0,-0,0
0.092,-0.224,0.255,4.38300000000001,77,7.30000000000001e-05,3.89999999999002e-05,0.079979,-0.004125,0.000551999999999997,0.012238,-1.97046102895088e-05,4.05679339092989e-05,0.079977089639626,0.00130136311109669,0.00327347957579301,0.0037553309822701,0,-0,-0,0
0.098,-0.171000000000001,0.174,4.31399999999999,77,0.000159999999999999,3.39999999999785e-05,0.08,-0.003891,0.00059099999999998,0.011738,-3.22639153595011e-05,4.95854124892975e-05,0.07995116815296,0.00209382320290619,0.0042648355340016,0.0036407210045059,0,-0,-0,0
0.102,-0.135000000000002,0.202,4.19,78,0.000142999999999999,4.49999999999617e-05,0.079973,-0.003258,0.000577999999999995,0.010452,-4.12416677181976e-05,5.55563375958003e-05,0.079932204473477,0.00266202782888809,0.00494899089193761,0.0034901752556725,6.65968126164665e-10,-8.1478245926122e-10,-6.35048522728216e-11,2.52485549863466e-05
0.106,-0.105,0.085,4.018,78,0.000149,4.09999999999577e-05,0.080034,-0.002659,0.000573999999999991,0.00881300000000002,-5.05749909432973e-05,6.13706303462976e-05,0.079912141528156,0.0032544880224178,0.0056402401701857,0.0032764615052738,1.99818438979196e-09,-2.46918286115423e-09,-1.91987115291854e-10,7.56987068208085e-05
0.11,-0.0440000000000005,0.197,3.83699999999999,78,0.000128999999999999,1.89999999999912e-05,0.080111,-0.002018,0.000459999999999988,0.006721,-6.0134524483002e-05,6.69148130693978e-05,0.079891241353218,0.0038635394541647,0.00632752908371571,0.0029970226550862,3.33027396189464e-09,-4.14534769681946e-09,-3.2810564567517e-10,0.0001261174151107
