timestamp,rx,ry,rz,tof,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,x,y,z,roll,pitch,yaw,tx,ty,tz,ft
0.006,0,0,4,80,0,0,0.08,0,0,0,0,0,0.08,0,0,0,0,-0,-0,0
0.012,0,-0.000999999999999446,3.988,78,1.19999999999999e-05,-1.99999999994649e-06,0.080008,1.90000000000051e-05,8.29999999999997e-05,4.39999999999885e-05,5.22611003650475e-06,-3.14341618189856e-06,0.080010171241315,-0.0003163087853046,-0.000328320806744498,0.000176652145281599,0,-0,-0,0
0.016,-0.00200000000000022,-0.00199999999999889,3.97499999999999,78,5.99999999999906e-06,7.00000000009027e-06,0.079999,4.90000000000004e-05,5.39999999999985e-05,-1.7000000000017e-05,8.66797594620272e-06,-4.97957414680172e-06,0.08001704395698,-0.000523340831950402,-0.000531983296367999,0.000321021921071703,0,-0,-0,0
0.022,-0.00099999999999989,-0.00199999999999889,3.96899999999999,80,-1.000000000001e-06,6.00000000006151e-06,0.080009,2.70000000000062e-05,3.40000000000062e-05,-4.000000000004e-06,1.35990675612097e-05,-7.23570134620113e-06,0.080027191777778,-0.000818746897736498,-0.000803306011024005,0.0005758430050809,0,-0,-0,0
0.026,-0.00200000000000022,-0.000999999999999446,3.964,80,1.49999999999994e-05,3.00000000008627e-06,0.080007,5.60000000000005e-05,4.29999999999875e-05,-1.8000000000018e-05,1.66296853182091e-05,-8.34551911009854e-06,0.08003365821356,-0.000999788008591199,-0.000954630694629907,0.000769557272752699,0,-0,-0,0
0.03,-0.00300000000000011,0.00100000000000122,3.95999999999998,80,0,4.000000000004e-06,0.080021,-5.99999999999906e-06,4.89999999999935e-05,2.19999999999942e-05,1.93717839225976e-05,-9.09253757809883e-06,0.080039722806431,-0.0011633119124756,-0.0010768821587443,0.0009804511961823,0,-0,-0,0
0.034,-0.00300000000000011,0.00200000000000067,3.95399999999998,78,2.10000000000002e-05,4.000000000004e-06,0.08001,-0.000120999999999996,7.49999999999917e-05,0.000450000000000006,2.17540661845012e-05,-9.43923100740068e-06,0.080045240309432,-0.0013051380708134,-0.0011654952763667,0.0012064283448685,0,-0,-0,0
0.038,-0.0150000000000001,0.0330000000000013,3.994,78,4.79999999999994e-05,3.00000000008627e-06,0.07999,-0.000361999999999994,0.000173000000000006,0.001195,2.37065710293055e-05,-9.35161270370147e-06,0.080050062610403,-0.0014210962979377,-0.00121607184323021,0.0014449635351211,0,-0,-0,0
0.044,-0.0379999999999998,0.0240000000000009,4.036,81,3.49999999999986e-05,-9.99999999995449e-06,0.080023,-0.001054,0.000223000000000001,0.002939,2.56816918543096e-05,-8.34265673600038e-06,0.080055667631563,-0.001537621938371,-0.0012116439325702,0.0018197475950441,0,-0,-0,0
0.048,-0.104,0.011000000000001,4.13299999999998,81,5.99999999999993e-05,-1.99999999994649e-06,0.080045,-0.00167999999999999,0.000254000000000004,0.00472400000000001,2.62699161835966e-05,-7.05189507880025e-06,0.080058105703511,-0.001571366853931,-0.0011497744300783,0.0020758766291092,0,-0,-0,0
